,GeoName,IndustryClassification,Description,ComponentName,year,GDP
49,California,512,Motion picture and sound recording industries,Real GDP by state,2008,
50,California,531,Real estate,Real GDP by state,2009,296425.0
51,California,92,Government,Real GDP by state,2009,260971.0
52,California,44-45,Retail trade,Real GDP by state,2009,109041.0
53,California,42,Wholesale trade,Real GDP by state,2009,100514.0
54,California,23,Construction,Real GDP by state,2009,65685.0
55,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2009,96146.0
56,California,81,"Other services, except government",Real GDP by state,2009,
57,California,621,Ambulatory health care services,Real GDP by state,2009,55588.0
58,California,561,Administrative and support services,Real GDP by state,2009,50164.0
59,California,512,Motion picture and sound recording industries,Real GDP by state,2009,
60,California,531,Real estate,Real GDP by state,2010,301175.0
61,California,92,Government,Real GDP by state,2010,257966.0
62,California,44-45,Retail trade,Real GDP by state,2010,112599.0
63,California,42,Wholesale trade,Real GDP by state,2010,105310.0
64,California,23,Construction,Real GDP by state,2010,60161.0
65,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2010,97594.0
66,California,81,"Other services, except government",Real GDP by state,2010,
67,California,621,Ambulatory health care services,Real GDP by state,2010,61239.0
68,California,561,Administrative and support services,Real GDP by state,2010,
69,California,512,Motion picture and sound recording industries,Real GDP by state,2010,60502.0
70,California,531,Real estate,Real GDP by state,2011,308282.0
71,California,92,Government,Real GDP by state,2011,258686.0
72,California,44-45,Retail trade,Real GDP by state,2011,112916.0
73,California,42,Wholesale trade,Real GDP by state,2011,113218.0
74,California,23,Construction,Real GDP by state,2011,60370.0
75,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2011,101844.0
76,California,81,"Other services, except government",Real GDP by state,2011,
77,California,621,Ambulatory health care services,Real GDP by state,2011,63899.0
78,California,561,Administrative and support services,Real GDP by state,2011,55670.0
79,California,512,Motion picture and sound recording industries,Real GDP by state,2011,58074.0
80,California,531,Real estate,Real GDP by state,2012,309648.0
81,California,92,Government,Real GDP by state,2012,255994.0
82,California,44-45,Retail trade,Real GDP by state,2012,116579.0
83,California,42,Wholesale trade,Real GDP by state,2012,113484.0
84,California,23,Construction,Real GDP by state,2012,64248.0
85,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2012,105165.0
86,California,81,"Other services, except government",Real GDP by state,2012,
87,California,621,Ambulatory health care services,Real GDP by state,2012,64767.0
88,California,561,Administrative and support services,Real GDP by state,2012,58867.0
89,California,512,Motion picture and sound recording industries,Real GDP by state,2012,59497.0
90,California,531,Real estate,Real GDP by state,2013,321696.0
91,California,92,Government,Real GDP by state,2013,255046.0
92,California,44-45,Retail trade,Real GDP by state,2013,120820.0
93,California,42,Wholesale trade,Real GDP by state,2013,118847.0
94,California,23,Construction,Real GDP by state,2013,67757.0
95,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2013,106161.0
96,California,81,"Other services, except government",Real GDP by state,2013,
97,California,621,Ambulatory health care services,Real GDP by state,2013,66866.0
98,California,561,Administrative and support services,Real GDP by state,2013,59453.0
99,California,512,Motion picture and sound recording industries,Real GDP by state,2013,
100,California,531,Real estate,Real GDP by state,2014,
101,California,92,Government,Real GDP by state,2014,258782.0
102,California,44-45,Retail trade,Real GDP by state,2014,122373.0
103,California,42,Wholesale trade,Real GDP by state,2014,123606.0
104,California,23,Construction,Real GDP by state,2014,67978.0
105,California,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2014,
106,California,81,"Other services, except government",Real GDP by state,2014,43538.0
107,California,621,Ambulatory health care services,Real GDP by state,2014,
108,California,561,Administrative and support services,Real GDP by state,2014,
109,California,512,Motion picture and sound recording industries,Real GDP by state,2014,
0,United States,92,Government,Real GDP by state,2004,1888235.0
1,United States,531,Real estate,Real GDP by state,2004,1535497.0
2,United States,44-45,Retail trade,Real GDP by state,2004,895472.0
3,United States,42,Wholesale trade,Real GDP by state,2004,845765.0
4,United States,23,Construction,Real GDP by state,2004,770455.0
5,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2004,552688.0
6,United States,621,Ambulatory health care services,Real GDP by state,2004,427407.0
7,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2004,407806.0
8,United States,81,"Other services, except government",Real GDP by state,2004,367325.0
9,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2004,348163.0
10,United States,92,Government,Real GDP by state,2005,1899233.0
11,United States,531,Real estate,Real GDP by state,2005,1623183.0
12,United States,44-45,Retail trade,Real GDP by state,2005,925069.0
13,United States,42,Wholesale trade,Real GDP by state,2005,889683.0
14,United States,23,Construction,Real GDP by state,2005,772756.0
15,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2005,568412.0
16,United States,621,Ambulatory health care services,Real GDP by state,2005,441308.0
17,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2005,409858.0
18,United States,81,"Other services, except government",Real GDP by state,2005,
19,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2005,374834.0
20,United States,92,Government,Real GDP by state,2006,1911720.0
21,United States,531,Real estate,Real GDP by state,2006,1630556.0
22,United States,44-45,Retail trade,Real GDP by state,2006,929828.0
23,United States,42,Wholesale trade,Real GDP by state,2006,923355.0
24,United States,23,Construction,Real GDP by state,2006,753462.0
25,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2006,587157.0
26,United States,621,Ambulatory health care services,Real GDP by state,2006,465214.0
27,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2006,421985.0
28,United States,81,"Other services, except government",Real GDP by state,2006,
29,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2006,374226.0
30,United States,92,Government,Real GDP by state,2007,1922307.0
31,United States,531,Real estate,Real GDP by state,2007,1720363.0
32,United States,44-45,Retail trade,Real GDP by state,2007,904183.0
33,United States,42,Wholesale trade,Real GDP by state,2007,954483.0
34,United States,23,Construction,Real GDP by state,2007,725127.0
35,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2007,597961.0
36,United States,621,Ambulatory health care services,Real GDP by state,2007,464789.0
37,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2007,429037.0
38,United States,81,"Other services, except government",Real GDP by state,2007,
39,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2007,
40,United States,92,Government,Real GDP by state,2008,1955393.0
41,United States,531,Real estate,Real GDP by state,2008,1745253.0
42,United States,44-45,Retail trade,Real GDP by state,2008,866402.0
43,United States,42,Wholesale trade,Real GDP by state,2008,943484.0
44,United States,23,Construction,Real GDP by state,2008,662195.0
45,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2008,646711.0
46,United States,621,Ambulatory health care services,Real GDP by state,2008,492096.0
47,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2008,451578.0
48,United States,81,"Other services, except government",Real GDP by state,2008,
49,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2008,
50,United States,92,Government,Real GDP by state,2009,1967135.0
51,United States,531,Real estate,Real GDP by state,2009,1740571.0
52,United States,44-45,Retail trade,Real GDP by state,2009,842134.0
53,United States,42,Wholesale trade,Real GDP by state,2009,822846.0
54,United States,23,Construction,Real GDP by state,2009,577296.0
55,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2009,606036.0
56,United States,621,Ambulatory health care services,Real GDP by state,2009,498278.0
57,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2009,463700.0
58,United States,81,"Other services, except government",Real GDP by state,2009,
59,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2009,399458.0
60,United States,92,Government,Real GDP by state,2010,1976588.0
61,United States,531,Real estate,Real GDP by state,2010,1794743.0
62,United States,44-45,Retail trade,Real GDP by state,2010,862167.0
63,United States,42,Wholesale trade,Real GDP by state,2010,848342.0
64,United States,23,Construction,Real GDP by state,2010,551604.0
65,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2010,618515.0
66,United States,621,Ambulatory health care services,Real GDP by state,2010,505043.0
67,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2010,461157.0
68,United States,81,"Other services, except government",Real GDP by state,2010,
69,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2010,388275.0
70,United States,92,Government,Real GDP by state,2011,1962468.0
71,United States,531,Real estate,Real GDP by state,2011,1844696.0
72,United States,44-45,Retail trade,Real GDP by state,2011,867510.0
73,United States,42,Wholesale trade,Real GDP by state,2011,866037.0
74,United States,23,Construction,Real GDP by state,2011,548635.0
75,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2011,636909.0
76,United States,621,Ambulatory health care services,Real GDP by state,2011,517790.0
77,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2011,469093.0
78,United States,81,"Other services, except government",Real GDP by state,2011,
79,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2011,411510.0
80,United States,92,Government,Real GDP by state,2012,1958852.0
81,United States,531,Real estate,Real GDP by state,2012,1864970.0
82,United States,44-45,Retail trade,Real GDP by state,2012,883589.0
83,United States,42,Wholesale trade,Real GDP by state,2012,891096.0
84,United States,23,Construction,Real GDP by state,2012,569172.0
85,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2012,656269.0
86,United States,621,Ambulatory health care services,Real GDP by state,2012,524927.0
87,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2012,478229.0
88,United States,81,"Other services, except government",Real GDP by state,2012,
89,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2012,428669.0
90,United States,92,Government,Real GDP by state,2013,1940834.0
91,United States,531,Real estate,Real GDP by state,2013,1876126.0
92,United States,44-45,Retail trade,Real GDP by state,2013,907733.0
93,United States,42,Wholesale trade,Real GDP by state,2013,919374.0
94,United States,23,Construction,Real GDP by state,2013,584092.0
95,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2013,654604.0
96,United States,621,Ambulatory health care services,Real GDP by state,2013,542169.0
97,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2013,480111.0
98,United States,81,"Other services, except government",Real GDP by state,2013,
99,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2013,405376.0
100,United States,92,Government,Real GDP by state,2014,1945763.0
101,United States,531,Real estate,Real GDP by state,2014,
102,United States,44-45,Retail trade,Real GDP by state,2014,924086.0
103,United States,42,Wholesale trade,Real GDP by state,2014,950114.0
104,United States,23,Construction,Real GDP by state,2014,589564.0
105,United States,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2014,
106,United States,621,Ambulatory health care services,Real GDP by state,2014,
107,United States,622-623,Hospitals and nursing and residential care facilities,Real GDP by state,2014,
108,United States,81,"Other services, except government",Real GDP by state,2014,335628.0
109,United States,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2014,
0,Alabama,92,Government,Real GDP by state,2004,28679.0
1,Alabama,531,Real estate,Real GDP by state,2004,13889.0
2,Alabama,44-45,Retail trade,Real GDP by state,2004,12555.0
3,Alabama,42,Wholesale trade,Real GDP by state,2004,9898.0
4,Alabama,23,Construction,Real GDP by state,2004,9363.0
5,Alabama,621,Ambulatory health care services,Real GDP by state,2004,6005.0
6,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2004,5598.0
7,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2004,5526.0
8,Alabama,22,Utilities,Real GDP by state,2004,5205.0
9,Alabama,81,"Other services, except government",Real GDP by state,2004,4942.0
10,Alabama,92,Government,Real GDP by state,2005,28845.0
11,Alabama,531,Real estate,Real GDP by state,2005,13785.0
12,Alabama,44-45,Retail trade,Real GDP by state,2005,13308.0
13,Alabama,42,Wholesale trade,Real GDP by state,2005,10613.0
14,Alabama,23,Construction,Real GDP by state,2005,9491.0
15,Alabama,621,Ambulatory health care services,Real GDP by state,2005,6354.0
16,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2005,5589.0
17,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2005,5267.0
18,Alabama,22,Utilities,Real GDP by state,2005,4818.0
19,Alabama,81,"Other services, except government",Real GDP by state,2005,5088.0
20,Alabama,92,Government,Real GDP by state,2006,28926.0
21,Alabama,531,Real estate,Real GDP by state,2006,13809.0
22,Alabama,44-45,Retail trade,Real GDP by state,2006,13368.0
23,Alabama,42,Wholesale trade,Real GDP by state,2006,10952.0
24,Alabama,23,Construction,Real GDP by state,2006,9411.0
25,Alabama,621,Ambulatory health care services,Real GDP by state,2006,6676.0
26,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2006,5995.0
27,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2006,4515.0
28,Alabama,22,Utilities,Real GDP by state,2006,5087.0
29,Alabama,81,"Other services, except government",Real GDP by state,2006,5120.0
30,Alabama,92,Government,Real GDP by state,2007,30013.0
31,Alabama,531,Real estate,Real GDP by state,2007,14871.0
32,Alabama,44-45,Retail trade,Real GDP by state,2007,13116.0
33,Alabama,42,Wholesale trade,Real GDP by state,2007,11034.0
34,Alabama,23,Construction,Real GDP by state,2007,9290.0
35,Alabama,621,Ambulatory health care services,Real GDP by state,2007,6575.0
36,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2007,5932.0
37,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2007,4258.0
38,Alabama,22,Utilities,Real GDP by state,2007,5232.0
39,Alabama,81,"Other services, except government",Real GDP by state,2007,4970.0
40,Alabama,92,Government,Real GDP by state,2008,30129.0
41,Alabama,531,Real estate,Real GDP by state,2008,15687.0
42,Alabama,44-45,Retail trade,Real GDP by state,2008,12715.0
43,Alabama,42,Wholesale trade,Real GDP by state,2008,11075.0
44,Alabama,23,Construction,Real GDP by state,2008,8599.0
45,Alabama,621,Ambulatory health care services,Real GDP by state,2008,6925.0
46,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2008,6325.0
47,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2008,
48,Alabama,22,Utilities,Real GDP by state,2008,5289.0
49,Alabama,81,"Other services, except government",Real GDP by state,2008,4790.0
50,Alabama,92,Government,Real GDP by state,2009,30698.0
51,Alabama,531,Real estate,Real GDP by state,2009,16208.0
52,Alabama,44-45,Retail trade,Real GDP by state,2009,12285.0
53,Alabama,42,Wholesale trade,Real GDP by state,2009,9722.0
54,Alabama,23,Construction,Real GDP by state,2009,7861.0
55,Alabama,621,Ambulatory health care services,Real GDP by state,2009,7074.0
56,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2009,6125.0
57,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2009,
58,Alabama,22,Utilities,Real GDP by state,2009,4931.0
59,Alabama,81,"Other services, except government",Real GDP by state,2009,4613.0
60,Alabama,92,Government,Real GDP by state,2010,30737.0
61,Alabama,531,Real estate,Real GDP by state,2010,17032.0
62,Alabama,44-45,Retail trade,Real GDP by state,2010,12516.0
63,Alabama,42,Wholesale trade,Real GDP by state,2010,9765.0
64,Alabama,23,Construction,Real GDP by state,2010,7867.0
65,Alabama,621,Ambulatory health care services,Real GDP by state,2010,7043.0
66,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2010,6104.0
67,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2010,
68,Alabama,22,Utilities,Real GDP by state,2010,5530.0
69,Alabama,81,"Other services, except government",Real GDP by state,2010,4668.0
70,Alabama,92,Government,Real GDP by state,2011,30797.0
71,Alabama,531,Real estate,Real GDP by state,2011,18036.0
72,Alabama,44-45,Retail trade,Real GDP by state,2011,12444.0
73,Alabama,42,Wholesale trade,Real GDP by state,2011,9703.0
74,Alabama,23,Construction,Real GDP by state,2011,7509.0
75,Alabama,621,Ambulatory health care services,Real GDP by state,2011,7150.0
76,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2011,6066.0
77,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2011,
78,Alabama,22,Utilities,Real GDP by state,2011,5621.0
79,Alabama,81,"Other services, except government",Real GDP by state,2011,4616.0
80,Alabama,92,Government,Real GDP by state,2012,30335.0
81,Alabama,531,Real estate,Real GDP by state,2012,17891.0
82,Alabama,44-45,Retail trade,Real GDP by state,2012,12445.0
83,Alabama,42,Wholesale trade,Real GDP by state,2012,9600.0
84,Alabama,23,Construction,Real GDP by state,2012,7614.0
85,Alabama,621,Ambulatory health care services,Real GDP by state,2012,7174.0
86,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2012,5972.0
87,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2012,4644.0
88,Alabama,22,Utilities,Real GDP by state,2012,5384.0
89,Alabama,81,"Other services, except government",Real GDP by state,2012,
90,Alabama,92,Government,Real GDP by state,2013,29491.0
91,Alabama,531,Real estate,Real GDP by state,2013,17567.0
92,Alabama,44-45,Retail trade,Real GDP by state,2013,13714.0
93,Alabama,42,Wholesale trade,Real GDP by state,2013,9884.0
94,Alabama,23,Construction,Real GDP by state,2013,7361.0
95,Alabama,621,Ambulatory health care services,Real GDP by state,2013,7371.0
96,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2013,5830.0
97,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2013,
98,Alabama,22,Utilities,Real GDP by state,2013,5454.0
99,Alabama,81,"Other services, except government",Real GDP by state,2013,4607.0
100,Alabama,92,Government,Real GDP by state,2014,29572.0
101,Alabama,531,Real estate,Real GDP by state,2014,
102,Alabama,44-45,Retail trade,Real GDP by state,2014,13897.0
103,Alabama,42,Wholesale trade,Real GDP by state,2014,10199.0
104,Alabama,23,Construction,Real GDP by state,2014,7327.0
105,Alabama,621,Ambulatory health care services,Real GDP by state,2014,
106,Alabama,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2014,
107,Alabama,521-522,"Federal Reserve banks, credit intermediation, and related services",Real GDP by state,2014,
108,Alabama,22,Utilities,Real GDP by state,2014,5090.0
109,Alabama,81,"Other services, except government",Real GDP by state,2014,4715.0
0,Alaska,92,Government,Real GDP by state,2004,8649.0
1,Alaska,211,Oil and gas extraction,Real GDP by state,2004,6765.0
2,Alaska,531,Real estate,Real GDP by state,2004,2897.0
3,Alaska,23,Construction,Real GDP by state,2004,2505.0
4,Alaska,486,Pipeline transportation,Real GDP by state,2004,2363.0
5,Alaska,44-45,Retail trade,Real GDP by state,2004,1927.0
6,Alaska,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2004,1133.0
7,Alaska,621,Ambulatory health care services,Real GDP by state,2004,1093.0
8,Alaska,42,Wholesale trade,Real GDP by state,2004,992.0
9,Alaska,213,Support activities for mining,Real GDP by state,2004,957.0
10,Alaska,92,Government,Real GDP by state,2005,8789.0
11,Alaska,211,Oil and gas extraction,Real GDP by state,2005,7038.0
12,Alaska,531,Real estate,Real GDP by state,2005,2955.0
13,Alaska,23,Construction,Real GDP by state,2005,2481.0
14,Alaska,486,Pipeline transportation,Real GDP by state,2005,2322.0
15,Alaska,44-45,Retail trade,Real GDP by state,2005,1995.0
16,Alaska,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2005,1171.0
17,Alaska,621,Ambulatory health care services,Real GDP by state,2005,1125.0
18,Alaska,42,Wholesale trade,Real GDP by state,2005,1052.0
19,Alaska,213,Support activities for mining,Real GDP by state,2005,
20,Alaska,92,Government,Real GDP by state,2006,8844.0
21,Alaska,211,Oil and gas extraction,Real GDP by state,2006,8312.0
22,Alaska,531,Real estate,Real GDP by state,2006,2874.0
23,Alaska,23,Construction,Real GDP by state,2006,2238.0
24,Alaska,486,Pipeline transportation,Real GDP by state,2006,2378.0
25,Alaska,44-45,Retail trade,Real GDP by state,2006,1962.0
26,Alaska,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2006,1207.0
27,Alaska,621,Ambulatory health care services,Real GDP by state,2006,1174.0
28,Alaska,42,Wholesale trade,Real GDP by state,2006,
29,Alaska,213,Support activities for mining,Real GDP by state,2006,1186.0
30,Alaska,92,Government,Real GDP by state,2007,8768.0
31,Alaska,211,Oil and gas extraction,Real GDP by state,2007,9074.0
32,Alaska,531,Real estate,Real GDP by state,2007,3098.0
33,Alaska,23,Construction,Real GDP by state,2007,2153.0
34,Alaska,486,Pipeline transportation,Real GDP by state,2007,2779.0
35,Alaska,44-45,Retail trade,Real GDP by state,2007,1930.0
36,Alaska,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2007,1294.0
37,Alaska,621,Ambulatory health care services,Real GDP by state,2007,
38,Alaska,42,Wholesale trade,Real GDP by state,2007,1179.0
39,Alaska,213,Support activities for mining,Real GDP by state,2007,1281.0
40,Alaska,92,Government,Real GDP by state,2008,8819.0
41,Alaska,211,Oil and gas extraction,Real GDP by state,2008,8662.0
42,Alaska,531,Real estate,Real GDP by state,2008,3223.0
43,Alaska,23,Construction,Real GDP by state,2008,2084.0
44,Alaska,486,Pipeline transportation,Real GDP by state,2008,3506.0
45,Alaska,44-45,Retail trade,Real GDP by state,2008,1894.0
46,Alaska,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2008,1490.0
47,Alaska,621,Ambulatory health care services,Real GDP by state,2008,1221.0
48,Alaska,42,Wholesale trade,Real GDP by state,2008,
49,Alaska,213,Support activities for mining,Real GDP by state,2008,1419.0
50,Alaska,92,Government,Real GDP by state,2009,9186.0
51,Alaska,211,Oil and gas extraction,Real GDP by state,2009,11269.0
52,Alaska,531,Real estate,Real GDP by state,2009,3413.0
53,Alaska,23,Construction,Real GDP by state,2009,2141.0
54,Alaska,486,Pipeline transportation,Real GDP by state,2009,2488.0
55,Alaska,44-45,Retail trade,Real GDP by state,2009,1952.0
56,Alaska,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2009,1512.0
57,Alaska,621,Ambulatory health care services,Real GDP by state,2009,1263.0
58,Alaska,42,Wholesale trade,Real GDP by state,2009,
59,Alaska,213,Support activities for mining,Real GDP by state,2009,1349.0
60,Alaska,92,Government,Real GDP by state,2010,9157.0
61,Alaska,211,Oil and gas extraction,Real GDP by state,2010,9052.0
62,Alaska,531,Real estate,Real GDP by state,2010,3794.0
63,Alaska,23,Construction,Real GDP by state,2010,2196.0
64,Alaska,486,Pipeline transportation,Real GDP by state,2010,3030.0
65,Alaska,44-45,Retail trade,Real GDP by state,2010,1966.0
66,Alaska,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2010,1603.0
67,Alaska,621,Ambulatory health care services,Real GDP by state,2010,1306.0
68,Alaska,42,Wholesale trade,Real GDP by state,2010,
69,Alaska,213,Support activities for mining,Real GDP by state,2010,1421.0
70,Alaska,92,Government,Real GDP by state,2011,9510.0
71,Alaska,211,Oil and gas extraction,Real GDP by state,2011,9337.0
72,Alaska,531,Real estate,Real GDP by state,2011,4033.0
73,Alaska,23,Construction,Real GDP by state,2011,2134.0
74,Alaska,486,Pipeline transportation,Real GDP by state,2011,3057.0
75,Alaska,44-45,Retail trade,Real GDP by state,2011,1956.0
76,Alaska,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",Real GDP by state,2011,1718.0
77,Alaska,621,Ambulatory health care services,Real GDP by state,2011,1413.0
78,Alaska,42,Wholesale trade,Real GDP by state,2011,
79,Alaska,213,Support activities for mining,Real GDP by state,2011,1394.0
80,Alaska,92,Government,Real GDP by state,2012,9850.0
81,Alaska,211,Oil and gas extraction,Real GDP by state,2012,10654.0
82,Alaska,531,Real estate,Real GDP by state,2012,4038.0
