,GeoName,ComponentName,IndustryClassification,Description,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
5486,United States,Taxes on production and imports less subsidies,...,Federal civilian,-2115.0,-2319.0,-2401.0,-3044.0,-4370.0,-4847.0,-3323.0,-4578.0,-5124.0,-6700.0,0.0
5487,United States,Taxes on production and imports less subsidies,...,Federal military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5488,United States,Taxes on production and imports less subsidies,...,State and local,-14416.0,-14644.0,-15090.0,-15629.0,-16011.0,-17653.0,-17458.0,-18146.0,-17402.0,-17407.0,0.0
5490,United States,Taxes on production and imports less subsidies,"42, 44-45",Trade,312098.0,334678.0,355604.0,359651.0,352053.0,326497.0,348019.0,370416.0,383661.0,404782.0,0.0
5491,United States,Taxes on production and imports less subsidies,...,Transportation and utilities,63285.0,68620.0,72986.0,79260.0,76841.0,77526.0,78390.0,83400.0,84336.0,89301.0,0.0
5497,Alabama,Taxes on production and imports less subsidies,111-112,Farms,-195.0,-397.0,-180.0,-88.0,-86.0,-125.0,-105.0,-29.0,-47.0,-100.0,0.0
5498,Alabama,Taxes on production and imports less subsidies,113-115,"Forestry, fishing, and related activities",18.0,21.0,25.0,23.0,32.0,16.0,20.0,24.0,23.0,23.0,0.0
5500,Alabama,Taxes on production and imports less subsidies,211,Oil and gas extraction,123.0,163.0,189.0,182.0,242.0,107.0,128.0,161.0,128.0,134.0,0.0
5501,Alabama,Taxes on production and imports less subsidies,212,"Mining, except oil and gas",65.0,77.0,73.0,82.0,88.0,71.0,80.0,89.0,95.0,99.0,0.0
5502,Alabama,Taxes on production and imports less subsidies,213,Support activities for mining,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0
5503,Alabama,Taxes on production and imports less subsidies,22,Utilities,886.0,939.0,1073.0,1115.0,1119.0,1148.0,1190.0,1221.0,1225.0,1472.0,0.0
5504,Alabama,Taxes on production and imports less subsidies,23,Construction,63.0,81.0,89.0,87.0,83.0,83.0,87.0,115.0,111.0,121.0,0.0
5507,Alabama,Taxes on production and imports less subsidies,321,Wood products manufacturing,10.0,10.0,11.0,13.0,12.0,12.0,12.0,12.0,12.0,13.0,0.0
5508,Alabama,Taxes on production and imports less subsidies,327,Nonmetallic mineral products manufacturing,8.0,9.0,10.0,12.0,13.0,13.0,13.0,12.0,11.0,11.0,0.0
5509,Alabama,Taxes on production and imports less subsidies,331,Primary metals manufacturing,38.0,40.0,43.0,50.0,53.0,60.0,66.0,69.0,68.0,68.0,0.0
5510,Alabama,Taxes on production and imports less subsidies,332,Fabricated metal products,17.0,18.0,19.0,23.0,24.0,26.0,26.0,24.0,25.0,28.0,0.0
5511,Alabama,Taxes on production and imports less subsidies,333,Machinery manufacturing,11.0,12.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,0.0
5512,Alabama,Taxes on production and imports less subsidies,334,Computer and electronic products manufacturing,19.0,21.0,22.0,25.0,26.0,28.0,26.0,25.0,23.0,24.0,0.0
5513,Alabama,Taxes on production and imports less subsidies,335,"Electrical equipment, appliance, and components manufacturing",5.0,7.0,6.0,6.0,5.0,3.0,-4.0,-7.0,-3.0,2.0,0.0
5514,Alabama,Taxes on production and imports less subsidies,3361-3363,"Motor vehicles, bodies and trailers, and parts manufacturing",24.0,31.0,39.0,42.0,62.0,64.0,71.0,69.0,72.0,78.0,0.0
5515,Alabama,Taxes on production and imports less subsidies,"3364-3366, 3369",Other transportation equipment manufacturing,16.0,18.0,21.0,24.0,28.0,32.0,32.0,32.0,34.0,35.0,0.0
5516,Alabama,Taxes on production and imports less subsidies,337,Furniture and related products manufacturing,7.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,10.0,0.0
5517,Alabama,Taxes on production and imports less subsidies,339,Miscellaneous manufacturing,5.0,6.0,6.0,6.0,8.0,8.0,8.0,9.0,9.0,12.0,0.0
5519,Alabama,Taxes on production and imports less subsidies,311-312,Food and beverage and tobacco products manufacturing,31.0,32.0,33.0,36.0,39.0,41.0,44.0,44.0,44.0,47.0,0.0
5520,Alabama,Taxes on production and imports less subsidies,313-314,Textile mills and textile product mills,16.0,17.0,15.0,15.0,12.0,11.0,12.0,13.0,12.0,12.0,0.0
5521,Alabama,Taxes on production and imports less subsidies,315-316,Apparel and leather and allied products manufacturing,5.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,0.0
5522,Alabama,Taxes on production and imports less subsidies,322,Paper products manufacturing,28.0,29.0,31.0,34.0,34.0,37.0,38.0,37.0,35.0,36.0,0.0
5523,Alabama,Taxes on production and imports less subsidies,323,Printing and related support activities,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
5524,Alabama,Taxes on production and imports less subsidies,324,Petroleum and coal products manufacturing,15.0,21.0,24.0,25.0,26.0,28.0,28.0,31.0,25.0,29.0,0.0
5525,Alabama,Taxes on production and imports less subsidies,325,Chemical products manufacturing,39.0,73.0,75.0,80.0,106.0,119.0,121.0,167.0,164.0,163.0,0.0
5526,Alabama,Taxes on production and imports less subsidies,326,Plastics and rubber products manufacturing,44.0,48.0,42.0,48.0,48.0,46.0,44.0,53.0,44.0,48.0,0.0
5527,Alabama,Taxes on production and imports less subsidies,42,Wholesale trade,1963.0,2221.0,2326.0,2269.0,2255.0,2186.0,2211.0,2278.0,2302.0,2363.0,0.0
5528,Alabama,Taxes on production and imports less subsidies,44-45,Retail trade,2445.0,2818.0,2995.0,3117.0,3092.0,2847.0,2998.0,3062.0,3152.0,4420.0,0.0
5530,Alabama,Taxes on production and imports less subsidies,481,Air transportation,24.0,27.0,25.0,28.0,28.0,23.0,23.0,29.0,27.0,34.0,0.0
5531,Alabama,Taxes on production and imports less subsidies,482,Rail transportation,4.0,4.0,6.0,6.0,8.0,8.0,7.0,9.0,11.0,12.0,0.0
5532,Alabama,Taxes on production and imports less subsidies,483,Water transportation,6.0,21.0,21.0,23.0,22.0,23.0,27.0,28.0,21.0,28.0,0.0
5533,Alabama,Taxes on production and imports less subsidies,484,Truck transportation,21.0,25.0,28.0,27.0,33.0,31.0,31.0,33.0,33.0,35.0,0.0
5534,Alabama,Taxes on production and imports less subsidies,485,Transit and ground passenger transportation,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0
5535,Alabama,Taxes on production and imports less subsidies,486,Pipeline transportation,10.0,14.0,16.0,17.0,21.0,21.0,17.0,17.0,20.0,18.0,0.0
5536,Alabama,Taxes on production and imports less subsidies,"487-488, 492",Other transportation and support activities,6.0,7.0,7.0,9.0,10.0,11.0,11.0,11.0,10.0,11.0,0.0
5537,Alabama,Taxes on production and imports less subsidies,493,Warehousing and storage,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0
5539,Alabama,Taxes on production and imports less subsidies,511,"Publishing industries, except Internet (includes software)",3.0,3.0,4.0,4.0,8.0,9.0,9.0,8.0,8.0,8.0,0.0
5540,Alabama,Taxes on production and imports less subsidies,512,Motion picture and sound recording industries,1.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0
5541,Alabama,Taxes on production and imports less subsidies,"515, 517",Broadcasting and telecommunications,819.0,867.0,888.0,786.0,752.0,734.0,728.0,701.0,670.0,856.0,0.0
5542,Alabama,Taxes on production and imports less subsidies,"518, 519","Data processing, internet publishing, and other information services",1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,0.0
5545,Alabama,Taxes on production and imports less subsidies,521-522,"Federal Reserve banks, credit intermediation, and related services",67.0,78.0,86.0,92.0,106.0,117.0,114.0,119.0,124.0,128.0,0.0
5546,Alabama,Taxes on production and imports less subsidies,523,"Securities, commodity contracts, and investments",10.0,21.0,22.0,23.0,24.0,26.0,25.0,26.0,22.0,22.0,0.0
5548,Alabama,Taxes on production and imports less subsidies,525,"Funds, trusts, and other financial vehicles",3.0,7.0,11.0,6.0,6.0,10.0,8.0,8.0,4.0,4.0,0.0
5550,Alabama,Taxes on production and imports less subsidies,531,Real estate,457.0,496.0,573.0,589.0,669.0,698.0,754.0,727.0,724.0,717.0,0.0
5551,Alabama,Taxes on production and imports less subsidies,532-533,Rental and leasing services and lessors of intangible assets,123.0,150.0,164.0,168.0,143.0,145.0,159.0,249.0,248.0,286.0,0.0
5554,Alabama,Taxes on production and imports less subsidies,5411,Legal services,96.0,85.0,78.0,71.0,55.0,45.0,44.0,45.0,51.0,61.0,0.0
5555,Alabama,Taxes on production and imports less subsidies,5415,Computer systems design and related services,7.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,0.0
5556,Alabama,Taxes on production and imports less subsidies,"5412-5414, 5416-5419","Miscellaneous professional, scientific, and technical services",21.0,27.0,29.0,33.0,42.0,48.0,48.0,50.0,47.0,47.0,0.0
5557,Alabama,Taxes on production and imports less subsidies,55,Management of companies and enterprises,19.0,23.0,28.0,31.0,35.0,33.0,33.0,34.0,32.0,31.0,0.0
5559,Alabama,Taxes on production and imports less subsidies,561,Administrative and support services,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,15.0,0.0
5560,Alabama,Taxes on production and imports less subsidies,562,Waste management and remediation services,5.0,6.0,6.0,8.0,8.0,9.0,12.0,12.0,11.0,11.0,0.0
5562,Alabama,Taxes on production and imports less subsidies,61,Educational services,13.0,16.0,18.0,20.0,21.0,23.0,24.0,25.0,24.0,24.0,0.0
5564,Alabama,Taxes on production and imports less subsidies,621,Ambulatory health care services,31.0,39.0,43.0,47.0,41.0,45.0,45.0,46.0,44.0,45.0,0.0
5565,Alabama,Taxes on production and imports less subsidies,622-623,Hospitals and nursing and residential care facilities,74.0,89.0,98.0,104.0,98.0,102.0,105.0,103.0,115.0,124.0,0.0
5566,Alabama,Taxes on production and imports less subsidies,624,Social assistance,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
5569,Alabama,Taxes on production and imports less subsidies,711-712,"Performing arts, spectator sports, museums, and related activities",4.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0,5.0,5.0,0.0
5570,Alabama,Taxes on production and imports less subsidies,713,"Amusements, gambling, and recreation industries",12.0,12.0,12.0,15.0,11.0,12.0,11.0,13.0,15.0,14.0,0.0
5572,Alabama,Taxes on production and imports less subsidies,721,Accommodation,68.0,83.0,87.0,88.0,86.0,88.0,92.0,109.0,126.0,164.0,0.0
5573,Alabama,Taxes on production and imports less subsidies,722,Food services and drinking places,378.0,436.0,470.0,506.0,526.0,528.0,550.0,525.0,552.0,944.0,0.0
5574,Alabama,Taxes on production and imports less subsidies,81,"Other services, except government",170.0,202.0,215.0,229.0,243.0,243.0,258.0,258.0,260.0,420.0,0.0
5575,Alabama,Taxes on production and imports less subsidies,92,Government,-113.0,-112.0,-114.0,-107.0,-112.0,-127.0,-121.0,-145.0,-131.0,-141.0,0.0
5576,Alabama,Taxes on production and imports less subsidies,...,Federal civilian,-18.0,-18.0,-19.0,-19.0,-26.0,-29.0,-24.0,-36.0,-37.0,-47.0,0.0
5577,Alabama,Taxes on production and imports less subsidies,...,Federal military,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5578,Alabama,Taxes on production and imports less subsidies,...,State and local,-95.0,-93.0,-95.0,-88.0,-86.0,-98.0,-97.0,-109.0,-94.0,-94.0,0.0
5580,Alabama,Taxes on production and imports less subsidies,"42, 44-45",Trade,4408.0,5039.0,5320.0,5386.0,5347.0,5034.0,5209.0,5340.0,5454.0,6784.0,0.0
5581,Alabama,Taxes on production and imports less subsidies,...,Transportation and utilities,962.0,1041.0,1180.0,1230.0,1247.0,1272.0,1314.0,1356.0,1356.0,1618.0,0.0
5587,Alaska,Taxes on production and imports less subsidies,111-112,Farms,-1.0,-3.0,-1.0,,,,,1.0,,,0.0
5588,Alaska,Taxes on production and imports less subsidies,113-115,"Forestry, fishing, and related activities",40.0,52.0,67.0,139.0,182.0,119.0,141.0,191.0,164.0,180.0,0.0
5590,Alaska,Taxes on production and imports less subsidies,211,Oil and gas extraction,995.0,1311.0,1604.0,3138.0,8273.0,2853.0,3940.0,5344.0,5415.0,5770.0,0.0
5591,Alaska,Taxes on production and imports less subsidies,212,"Mining, except oil and gas",14.0,15.0,19.0,22.0,19.0,23.0,28.0,37.0,40.0,42.0,0.0
5592,Alaska,Taxes on production and imports less subsidies,213,Support activities for mining,33.0,32.0,43.0,47.0,44.0,59.0,60.0,62.0,68.0,60.0,0.0
5593,Alaska,Taxes on production and imports less subsidies,22,Utilities,51.0,48.0,49.0,50.0,45.0,56.0,67.0,79.0,80.0,81.0,0.0
5594,Alaska,Taxes on production and imports less subsidies,23,Construction,13.0,13.0,13.0,12.0,12.0,14.0,15.0,16.0,16.0,15.0,0.0
5597,Alaska,Taxes on production and imports less subsidies,321,Wood products manufacturing,,,,,,,,,1.0,1.0,0.0
5598,Alaska,Taxes on production and imports less subsidies,327,Nonmetallic mineral products manufacturing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5599,Alaska,Taxes on production and imports less subsidies,331,Primary metals manufacturing,,,,,,,,,,,0.0
5600,Alaska,Taxes on production and imports less subsidies,332,Fabricated metal products,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5601,Alaska,Taxes on production and imports less subsidies,333,Machinery manufacturing,,,,,,,,,,,0.0
5602,Alaska,Taxes on production and imports less subsidies,334,Computer and electronic products manufacturing,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.0
5603,Alaska,Taxes on production and imports less subsidies,335,"Electrical equipment, appliance, and components manufacturing",,,,,,,,,,,0.0
5604,Alaska,Taxes on production and imports less subsidies,3361-3363,"Motor vehicles, bodies and trailers, and parts manufacturing",,,,,,,,,,,0.0
5605,Alaska,Taxes on production and imports less subsidies,"3364-3366, 3369",Other transportation equipment manufacturing,,,,,,1.0,1.0,1.0,1.0,1.0,0.0
5606,Alaska,Taxes on production and imports less subsidies,337,Furniture and related products manufacturing,,,,,,,,,,,0.0
5607,Alaska,Taxes on production and imports less subsidies,339,Miscellaneous manufacturing,,,,,,,,,,1.0,0.0
5609,Alaska,Taxes on production and imports less subsidies,311-312,Food and beverage and tobacco products manufacturing,19.0,19.0,20.0,21.0,18.0,23.0,29.0,34.0,37.0,38.0,0.0
5610,Alaska,Taxes on production and imports less subsidies,313-314,Textile mills and textile product mills,,,,,,,,,,,0.0
5611,Alaska,Taxes on production and imports less subsidies,315-316,Apparel and leather and allied products manufacturing,,,,,,,,,,,0.0
5612,Alaska,Taxes on production and imports less subsidies,322,Paper products manufacturing,,,,,,,,,,,0.0
5613,Alaska,Taxes on production and imports less subsidies,323,Printing and related support activities,,,,,,,,,,,0.0
5614,Alaska,Taxes on production and imports less subsidies,324,Petroleum and coal products manufacturing,6.0,6.0,8.0,8.0,8.0,10.0,10.0,12.0,10.0,11.0,0.0
5615,Alaska,Taxes on production and imports less subsidies,325,Chemical products manufacturing,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.0
5616,Alaska,Taxes on production and imports less subsidies,326,Plastics and rubber products manufacturing,,,,,,,,,,,0.0
5617,Alaska,Taxes on production and imports less subsidies,42,Wholesale trade,339.0,360.0,417.0,442.0,455.0,392.0,462.0,469.0,453.0,478.0,0.0
5618,Alaska,Taxes on production and imports less subsidies,44-45,Retail trade,53.0,65.0,65.0,85.0,96.0,104.0,118.0,107.0,93.0,104.0,0.0
5620,Alaska,Taxes on production and imports less subsidies,481,Air transportation,124.0,128.0,115.0,136.0,129.0,125.0,113.0,140.0,134.0,161.0,0.0
5621,Alaska,Taxes on production and imports less subsidies,482,Rail transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5622,Alaska,Taxes on production and imports less subsidies,483,Water transportation,1.0,5.0,3.0,4.0,3.0,1.0,5.0,6.0,2.0,8.0,0.0
5623,Alaska,Taxes on production and imports less subsidies,484,Truck transportation,4.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,8.0,8.0,0.0
5624,Alaska,Taxes on production and imports less subsidies,485,Transit and ground passenger transportation,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0
5625,Alaska,Taxes on production and imports less subsidies,486,Pipeline transportation,296.0,301.0,302.0,320.0,310.0,312.0,332.0,335.0,346.0,364.0,0.0
5626,Alaska,Taxes on production and imports less subsidies,"487-488, 492",Other transportation and support activities,12.0,12.0,12.0,8.0,8.0,10.0,11.0,12.0,12.0,11.0,0.0
5627,Alaska,Taxes on production and imports less subsidies,493,Warehousing and storage,,,,,,,,,1.0,,0.0
5629,Alaska,Taxes on production and imports less subsidies,511,"Publishing industries, except Internet (includes software)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
