SICcode        Catcode        Category        SICname        MultSIC
1429        B5100        Stone, clay, glass & concrete products        Crushed and broken stone, NEC        X
1442        B5100        Stone, clay, glass & concrete products        Construction sand and gravel        X
1446        E1230        Non-metallic mining        Industrial sand        X
1455        E1230        Non-metallic mining        Kaolin and ball clay        X
1459        E1230        Non-metallic mining        Clay and related minerals, NEC        X
1474        E1230        Non-metallic mining        Potash, soda, and borate minerals        X
1475        E1230        Non-metallic mining        Phosphate rock        X
1479        A4100        Agricultural chemicals (fertilizers & pesticides)        Chemical and fertilizer mining, nec        X
1481        E1230        Non-metallic mining        Nonmetallic minerals services        X
1499        E1230        Non-metallic mining        Miscellaneous nonmetallic minerals        X
1521        B2000        Residential construction        Singlefamily housing construction        X
1522        B2000        Residential construction        Residential construction, NEC        X
1531        B2000        Residential construction        Operative builders        X
1541        B1000        Public works, industrial & commercial construction        Industrial bldg & warehouse construction        X
1542        B1000        Public works, industrial & commercial construction        Nonresidential construction, NEC        X
1611        B1000        Public works, industrial & commercial construction        Highway and street construction        X
1622        B1000        Public works, industrial & commercial construction        Bridge, tunnel, & elevated highway        X
1623        B1000        Public works, industrial & commercial construction        Water, sewer, and utility lines        X
1629        B1000        Public works, industrial & commercial construction        Heavy construction, NEC        X
1711        B3400        Plumbing, heating & air conditioning        Plumbing, heating, airconditioning        X
1721        B3000        Special trade contractors        Painting, paper hanging        X
1731        B3200        Electrical contractors        Electrical work        
1741        B3000        Special trade contractors        Masonry and other stonework        X
1742        B3000        Special trade contractors        Plastering, dry wall and insulation        X
1743        B3000        Special trade contractors        Terrazzo, tile, marble, mosaic work        X
1751        B3000        Special trade contractors        Carpentering        X
1752        B3000        Special trade contractors        Floor laying and floor work, NEC        X
1761        B3000        Special trade contractors        Roofing and sheet metal work        X
1771        B3000        Special trade contractors        Concrete work        X
1781        B3000        Special trade contractors        Water well drilling        X
1791        B3000        Special trade contractors        Structural steel erection        X
1793        B3000        Special trade contractors        Glass and glazing work        X
1794        B3600        Landscaping & Excavation Svcs        Excavating and foundation work        X
1795        B3000        Special trade contractors        Wrecking and demolition work        X
1796        B3000        Special trade contractors        Installing building equipment, NEC        X
1799        B3000        Special trade contractors        Special trade contractors, NEC        X
2011        G2300        Meat processing & products        Meat packing plants        X
2013        G2300        Meat processing & products        Sausages and other prepared meats        X
2015        A2300        Poultry & eggs        Poultry slaughtering and processing        X
2021        A2000        Milk & dairy producers        Creamery butter        X
2022        A2000        Milk & dairy producers        Cheese, natural and processed        X
2023        A2000        Milk & dairy producers        Dry, condensed, evaporated dairy prods        X
2024        A2000        Milk & dairy producers        Ice cream and frozen desserts        X
2026        A2000        Milk & dairy producers        Fluid milk        X
2032        G2100        Food and kindred products manufacturing        Canned specialties        X
2033        G2100        Food and kindred products manufacturing        Fruits and vegetables, canned        X
2034        G2100        Food and kindred products manufacturing        Dehydrated fruits, vegetables,soups        X
2035        G2100        Food and kindred products manufacturing        Pickles, sauces, and salad dressings        X
2037        A1400        Vegetables, fruits and tree nut        Frozen fruits and vegetables        X
2038        G2100        Food and kindred products manufacturing        Frozen specialties, NEC        X
2041        A1500        Wheat, corn, soybeans and cash grain        Flour and other grain mill products        X
2043        G2100        Food and kindred products manufacturing        Cereal breakfast foods        X
2044        A1600        Other commodities (incl rice, peanuts, honey)        Rice milling        X
2045        G2100        Food and kindred products manufacturing        Prepared flour mixes and doughs        X
2046        A1500        Wheat, corn, soybeans and cash grain        Wet corn milling        X
2047        A3100        Animal feed & health products        Dog and cat food        X
2048        A3100        Animal feed & health products        Prepared feeds, NEC        X
2051        G2100        Food and kindred products manufacturing        Bread, cake, and related products        X
2052        G2100        Food and kindred products manufacturing        Cookies and crackers        X
2053        G2100        Food and kindred products manufacturing        Frozen bakery products, except bread        X
2061        A1200        Sugar cane & sugar beets        Raw cane sugar        X
2062        A1200        Sugar cane & sugar beets        Cane sugar refining        X
2063        A1200        Sugar cane & sugar beets        Beet sugar        X
2064        G2200        Confectionary processors & manufacturers        Candy and other confectionery products        X
2066        G2200        Confectionary processors & manufacturers        Chocolate and cocoa products        X
2067        G2100        Food and kindred products manufacturing        Chewing gum        X
2068        G2100        Food and kindred products manufacturing        Salted and roasted nuts and seeds        X
2074        G2100        Food and kindred products manufacturing        Cottonseed oil mills        X
2075        G2100        Food and kindred products manufacturing        Soybean oil mills        X
2076        G2100        Food and kindred products manufacturing        Vegetable oil mills, NEC        X
2077        G2100        Food and kindred products manufacturing        Animal and marine fats and oils        X
2079        G2100        Food and kindred products manufacturing        Edible fats and oils, NEC        X
2082        G2810        Beer        Malt beverages        
2083        G2100        Food and kindred products manufacturing        Malt        X
2084        G2820        Wine & distilled spirits manufacturing        Wines, brandy, and brandy spirits        X
2085        G2820        Wine & distilled spirits manufacturing        Distilled and blended liquors        X
2086        G2600        Beverages (non-alcoholic)        Soft drinks, bottled and canned        X
2087        G2100        Food and kindred products manufacturing        Flavoring extracts and syrups, NEC        X
2091        G2350        Fish Processing        Canned and cured fish and seafoods        X
2092        G2350        Fish Processing        Fish, fresh or frozen packaged        X
2095        G2600        Beverages (non-alcoholic)        Coffee, roasted        X
2096        G2100        Food and kindred products manufacturing        Potato chips and similar snacks        X
2097        G2100        Food and kindred products manufacturing        Ice, manufactured        X
2098        G2100        Food and kindred products manufacturing        Macaroni and spaghetti        X
2099        G2100        Food and kindred products manufacturing        Food preparations, NEC        X
2111        A1300        Tobacco & Tobacco products        Cigarettes        X
2121        A1300        Tobacco & Tobacco products        Cigars        X
2131        A1300        Tobacco & Tobacco products        Chewing and smoking tobacco        X
2141        A1300        Tobacco & Tobacco products        Tobacco stemming and redrying        X
2211        M8000        Textiles & fabrics        Broadwoven fabric mills, cotton        X
2221        M1400        Manmade fibers        Broadwoven fabric mills, manmade        X
2231        M8000        Textiles & fabrics        Broadwoven fabric mills, wool        X
2241        M8000        Textiles & fabrics        Narrow fabric mills        X
2251        M3100        Clothing & accessories        Women's hosiery, except socks        X
2252        M3100        Clothing & accessories        Hosiery, NEC        X
2253        M3100        Clothing & accessories        Knit outerwear mills        X
2254        M3100        Clothing & accessories        Knit underwear mills        X
2257        M8000        Textiles & fabrics        Weft knit fabric mills        X
2258        M8000        Textiles & fabrics        Lace and warp knit fabric mills        X
2259        M3100        Clothing & accessories        Knitting mills, NEC        X
2261        M8000        Textiles & fabrics        Finishing plants, cotton        X
2262        M1400        Manmade fibers        Finishing plants, manmade        X
2269        M8000        Textiles & fabrics        Finishing plants, NEC        X
2273        M4000        Household & office products        Carpets and rugs        X
2281        M8000        Textiles & fabrics        Yarn spinning mills        X
2282        M8000        Textiles & fabrics        Yarn throwing and winding mills        X
2284        M8000        Textiles & fabrics        Thread mills        X
2295        M8000        Textiles & fabrics        Coated fabrics, not rubberized        X
2296        M8000        Textiles & fabrics        Tire cord and fabric        X
2297        M8000        Textiles & fabrics        Nonwoven fabrics        X
2298        M8000        Textiles & fabrics        Cordage and twine        X
2299        M8000        Textiles & fabrics        Textile goods, NEC        X
2311        M3100        Clothing & accessories        Men's and boys' suits and coats        X
2321        M3100        Clothing & accessories        Men's and boys' shirts        X
2322        M3100        Clothing & accessories        Men's and boys' underwear        X
2323        M3100        Clothing & accessories        Men's and boys' neckwear        X
2325        M3100        Clothing & accessories        Men's and boys' trousers        X
2326        M3100        Clothing & accessories        Men's and boys' work clothing        X
2329        M3100        Clothing & accessories        Men's and boys' clothing, NEC        X
2331        M3100        Clothing & accessories        Women's & misses' blouses & waists        X
2335        M3100        Clothing & accessories        Women's, junior's, & misses' dresses        X
2337        M3100        Clothing & accessories        Women's and misses' suits and coats        X
2339        M3100        Clothing & accessories        Women's and misses' outerwear, NEC        X
2341        M3100        Clothing & accessories        Women's and children's underwear        X
2342        M3100        Clothing & accessories        Bras, girdles, and allied garments        X
2353        M3100        Clothing & accessories        Hats, caps, and millinery        X
2361        M3100        Clothing & accessories        Girls' and children's dresses & blouses        X
2369        M3100        Clothing & accessories        Girls, children's & infants outwear, NEC        X
2371        M3100        Clothing & accessories        Fur goods        X
2381        M3100        Clothing & accessories        Gloves, dress and work, fabric        X
2384        M3100        Clothing & accessories        Robes and dressing gowns        X
2385        M3100        Clothing & accessories        Waterproof outergarments        X
2386        M3200        Shoes & leather products        Leather and sheep lined clothing        X
2387        M3100        Clothing & accessories        Apparel belts        X
2389        M3100        Clothing & accessories        Apparel and accessories, NEC        X
2391        M4000        Household & office products        Curtains and draperies        X
2392        M4000        Household & office products        House furnishings, NEC        X
2393        M7000        Paper, glass & packaging materials        Textile bags        X
2394        M8000        Textiles & fabrics        Canvas and related products        X
2395        M8000        Textiles & fabrics        Pleating and stitching        X
2396        M2300        Industrial/commercial equipment & materials        Automotive and apparel trimmings        X
2397        M8000        Textiles & fabrics        Schiffli machine embroideries        X
2399        M8000        Textiles & fabrics        Fabricated textile products, NEC        X
2411        A5000        Forestry & Forest Products        Logging        X
2421        A5000        Forestry & Forest Products        Sawmills and planing mills, general        X
2426        M4100        Furniture & wood products        Hardwood dimension and flooring        X
2429        A5000        Forestry & Forest Products        Special product sawmills, NEC        X
2431        M4100        Furniture & wood products        Millwork        X
2434        M4100        Furniture & wood products        Wood kitchen cabinets        X
2435        A5000        Forestry & Forest Products        Hardwood veneer and plywood        X
2436        A5000        Forestry & Forest Products        Softwood veneer and plywood        X
2439        A5000        Forestry & Forest Products        Structural wood members, NEC        X
2441        M4100        Furniture & wood products        Nailed wood boxes and shook        X
2448        M4100        Furniture & wood products        Wood pallets and skids        X
2449        M4100        Furniture & wood products        Wood containers, NEC        X
2451        B2400        Mobile home construction        Mobile homes        
2452        M4100        Furniture & wood products        Prefabricated wood buildings        X
2491        A5000        Forestry & Forest Products        Wood preserving        X
2493        M4100        Furniture & wood products        Reconstituted wood products        X
2499        M4100        Furniture & wood products        Wood products, NEC        X
2511        M4100        Furniture & wood products        Wood household furniture        X
2512        M4100        Furniture & wood products        Upholstered household furniture        X
2514        M4100        Furniture & wood products        Metal household furniture        X
2515        M4100        Furniture & wood products        Mattresses and bedsprings        X
2517        M4100        Furniture & wood products        Wood TV and radio cabinets        X
2519        M4100        Furniture & wood products        Household furniture, NEC        X
2521        M4100        Furniture & wood products        Wood office furniture        X
2522        M4100        Furniture & wood products        Office furniture, except wood        X
2531        M4100        Furniture & wood products        Public building & related furniture        X
2541        M4100        Furniture & wood products        Wood partitions and fixtures        X
2542        M2300        Industrial/commercial equipment & materials        Partitions and fixtures, except wood        X
2591        M4000        Household & office products        Drapery hardware, blinds & shades        X
2599        M4100        Furniture & wood products        Furniture and fixtures, NEC        X
2611        A5200        Paper & pulp mills and paper manufacturing        Pulp mills        X
2621        A5200        Paper & pulp mills and paper manufacturing        Paper mills        X
2631        A5200        Paper & pulp mills and paper manufacturing        Paperboard mills        X
2652        M7100        Paper packaging materials        Setup paperboard boxes        X
2653        M7100        Paper packaging materials        Corrugated and solid fiber boxes        X
2655        M7000        Paper, glass & packaging materials        Fiber cans, drums & similar products        X
2656        M7000        Paper, glass & packaging materials        Sanitary food containers, except folding        X
2657        M7100        Paper packaging materials        Folding paperboard boxes, incl sanitary        X
2671        M7100        Paper packaging materials        Paper coated & laminated, packaging        X
2672        M7100        Paper packaging materials        Paper coated and laminated, NEC        X
2673        M7000        Paper, glass & packaging materials        Bags: plastics, laminated, & coated        X
2674        M7100        Paper packaging materials        Bags: uncoated paper & multiwall        X
2675        M7000        Paper, glass & packaging materials        Diecut paper and board        X
2676        M7000        Paper, glass & packaging materials        Sanitary paper products        X
2677        M7000        Paper, glass & packaging materials        Envelopes        X
2678        M7000        Paper, glass & packaging materials        Stationery products        X
2679        M7000        Paper, glass & packaging materials        Converted paper products, NEC        X
2711        C1100        Book, newspaper & periodical publishing        Newspapers        X
2721        C1100        Book, newspaper & periodical publishing        Periodicals        X
2731        C1100        Book, newspaper & periodical publishing        Book publishing        X
2732        C1100        Book, newspaper & periodical publishing        Book printing        X
2741        C1100        Book, newspaper & periodical publishing        Publishing, misc        X
2752        C1300        Commercial printing & typesetting        Commercial printing, lithographic        X
2754        C1300        Commercial printing & typesetting        Commercial printing, gravure        X
2759        C1300        Commercial printing & typesetting        Commercial Printing, NEC        X
2761        C1300        Commercial printing & typesetting        Manifold business forms        X
2771        C1400        Greeting card publishing        Greeting card publishing        
2782        C1300        Commercial printing & typesetting        Blankbooks and looseleaf binders        X
2789        C1300        Commercial printing & typesetting        Bookbinding and related work        X
2791        C1300        Commercial printing & typesetting        Typesetting        X
2796        C1300        Commercial printing & typesetting        Platemaking and related services        X
2812        M1000        Chemicals        Alkalies and chlorine        X
2813        M1000        Chemicals        Industrial gases        X
2816        M1000        Chemicals        Inorganic pigments        X
2819        M1000        Chemicals        Industrial inorganic chemicals, NEC        X
2821        M1500        Plastics & Rubber processing & products        Plastics materials and resins        X
2822        M1500        Plastics & Rubber processing & products        Synthetic rubber        X
2823        M1400        Manmade fibers        Cellulosic manmade fibers        X
2824        M1400        Manmade fibers        Organic fibers, noncellulosic        X
2833        H4300        Pharmaceutical manufacturing        Medicinals and botanicals        X
2834        H4300        Pharmaceutical manufacturing        Pharmaceutical preparations        X
2835        H4300        Pharmaceutical manufacturing        Diagnostic substances        X
2836        H4300        Pharmaceutical manufacturing        Biological products, exc diagnostic        X
2841        M1300        Household cleansers & chemicals        Soap and other detergents        X
2842        M1300        Household cleansers & chemicals        Polishes and sanitation goods        X
2843        M1000        Chemicals        Surface active agents        X
2844        M3300        Toiletries & cosmetics        Toilet preparations        
2851        M1600        Paints, Solvents and Coatings        Paints and allied products        X
2861        M1000        Chemicals        Gum and wood chemicals        X
2865        M1000        Chemicals        Cyclic crudes and intermediates        X
2869        M1000        Chemicals        Industrial organic chemicals, NEC        X
2873        A4100        Agricultural chemicals (fertilizers & pesticides)        Nitrogenous fertilizers        X
2874        A4100        Agricultural chemicals (fertilizers & pesticides)        Phosphatic fertilizers        X
2875        A4100        Agricultural chemicals (fertilizers & pesticides)        Fertilizers, mixing only        X
2879        A4100        Agricultural chemicals (fertilizers & pesticides)        Agricultural chemicals, NEC        X
2891        M1700        Adhesives & Sealants        Adhesives and sealants        
2892        M1100        Explosives        Explosives        
2893        M1000        Chemicals        Printing ink        X
2895        M1000        Chemicals        Carbon black        X
2899        M1000        Chemicals        Chemical preparations, NEC        X
2911        E1160        Petroleum refining & marketing        Petroleum refining        X
2951        B5100        Stone, clay, glass & concrete products        Asphalt paving mixtures and blocks        X
2952        B5000        Building materials        Asphalt felts and coatings        X
2992        E1160        Petroleum refining & marketing        Lubricating oils and greases        X
2999        E1160        Petroleum refining & marketing        Petroleum and coal products, NEC        X
3011        M1500        Plastics & Rubber processing & products        Tires and inner tubes        X
3021        M3200        Shoes & leather products        Rubber and plastics footwear        X
3052        M1500        Plastics & Rubber processing & products        Rubber & plastics hose & belting        X
3053        M2300        Industrial/commercial equipment & materials        Gaskets,packing, and sealing devices        X
3061        M1500        Plastics & Rubber processing & products        Mechanical rubber goods        X
3069        M1500        Plastics & Rubber processing & products        Fabricated rubber products, NEC        X
3081        M1500        Plastics & Rubber processing & products        Unsupported plastics film and sheet        X
3082        M1500        Plastics & Rubber processing & products        Unsupported plastics profile shapes        X
3083        M1500        Plastics & Rubber processing & products        Laminated plate & sheet        X
3084        M1500        Plastics & Rubber processing & products        Plastics pipe        X
3085        M1500        Plastics & Rubber processing & products        Plastics bottles        X
3086        M1500        Plastics & Rubber processing & products        Plastics foam products        X
3087        M1500        Plastics & Rubber processing & products        Custom compound purchased resins        X
3088        M1500        Plastics & Rubber processing & products        Plastics plumbing fixtures        X
3089        M1500        Plastics & Rubber processing & products        Plastics products, NEC        X
3111        M3200        Shoes & leather products        Leather tanning and finishing        X
3131        M3200        Shoes & leather products        Footwear cut stock        X
3142        M3200        Shoes & leather products        House slippers        X
3143        M3200        Shoes & leather products        Men's footwear, except athletic        X
3144        M3200        Shoes & leather products        Women's footwear, except athletic        X
3149        M3200        Shoes & leather products        Footwear, except rubber, NEC        X
3151        M3200        Shoes & leather products        Leather gloves and mittens        X
3161        M3000        Personal products manufacturing        Luggage        X
3171        M3000        Personal products manufacturing        Women's handbags and purses        X
3172        M3200        Shoes & leather products        Personal leather goods, NEC        X
3199        M3200        Shoes & leather products        Leather goods, NEC        X
3211        M7200        Glass products        Flat glass        X
3221        M7200        Glass products        Glass containers        X
3229        M7200        Glass products        Pressed and blown glass, NEC        X
3231        M7200        Glass products        Glass products        X
3241        B5100        Stone, clay, glass & concrete products        Cement, hydraulic        X
3251        B5100        Stone, clay, glass & concrete products        Brick and structural clay tile        X
3253        B5400        Other construction-related products        Ceramic wall and floor tile        X
3255        B5000        Building materials        Clay refractories        X
3259        B5300        Plumbing & pipe products        Structural clay products, NEC        X
3261        B5300        Plumbing & pipe products        Vitreous plumbing fixtures        X
3262        M4000        Household & office products        Vitreous china food utensils        X
3263        M4000        Household & office products        Fine earthenware food utensils        X
3264        M2300        Industrial/commercial equipment & materials        Porcelain electrical supplies        X
3269        M4000        Household & office products        Pottery products, NEC        X
3271        B5100        Stone, clay, glass & concrete products        Concrete block and brick        X
3272        B5100        Stone, clay, glass & concrete products        Concrete products, NEC        X
3273        B5100        Stone, clay, glass & concrete products        Readymixed concrete        X
3274        B5100        Stone, clay, glass & concrete products        Lime        X
3275        B5100        Stone, clay, glass & concrete products        Gypsum products        X
3281        B5100        Stone, clay, glass & concrete products        Cut stone and stone products        X
3291        B5100        Stone, clay, glass & concrete products        Abrasive products        X
3292        B5100        Stone, clay, glass & concrete products        Asbestos products        X
3295        B5100        Stone, clay, glass & concrete products        Minerals, ground or treated        X
3296        B5100        Stone, clay, glass & concrete products        Mineral wool        X
3297        B5100        Stone, clay, glass & concrete products        Nonclay refractories        X
3299        B5100        Stone, clay, glass & concrete products        Nonmetallic mineral products, NEC        X
3312        M2100        Steel        Blast furnaces and steel mills        X
3313        M5000        Fabricated metal products        Electrometallurgical products        X
3315        M5000        Fabricated metal products        Steel wire and related products        X
3316        M2100        Steel        Cold finishing of steel shapes        X
3317        M2100        Steel        Steel pipe and tubes        X
3321        M2000        Heavy industrial manufacturing        Gray iron foundries        X
3322        M2000        Heavy industrial manufacturing        Malleable iron foundries        X
3324        M2100        Steel        Steel investment foundries        X
3325        M2100        Steel        Steel foundries, NEC        X
3331        M2200        Smelting and non-petroleum refining        Primary copper        X
3334        E1220        Metal mining & processing        Primary aluminum        X
3339        M2200        Smelting and non-petroleum refining        Primary nonferrous metals, NEC        X
3341        M2200        Smelting and non-petroleum refining        Secondary nonferrous metals        X
3351        M2000        Heavy industrial manufacturing        Copper rolling and drawing        X
3353        M2000        Heavy industrial manufacturing        Aluminum sheet, plate, and foil        X
3354        M2000        Heavy industrial manufacturing        Aluminum extruded products        X
3355        M2000        Heavy industrial manufacturing        Aluminum rolling and drawing, NEC        X
3356        M2000        Heavy industrial manufacturing        Nonferrous rolling and drawing, NEC        X
3357        M2000        Heavy industrial manufacturing        Nonferrous wire drawing & insulating        X
3363        M2000        Heavy industrial manufacturing        Aluminum diecastings        X
3364        M2000        Heavy industrial manufacturing        Nonferrous diecastings, exc alum        X
3365        E1220        Metal mining & processing        Aluminum foundries        X
3366        E1220        Metal mining & processing        Copper foundries        X
3369        M2000        Heavy industrial manufacturing        Nonferrous foundries, NEC        X
3398        M2000        Heavy industrial manufacturing        Metal heat treating        X
3399        M5000        Fabricated metal products        Primary metal products, NEC        X
3411        M7300        Metal cans & containers        Metal cans        X
3412        M7300        Metal cans & containers        Metal barrels, drums, and pails        X
3421        M5000        Fabricated metal products        Cutlery        X
3423        M5100        Hardware & tools        Hand and edge tools, NEC        X
3425        M5100        Hardware & tools        Hand saws and saw blades        X
3429        M5100        Hardware & tools        Hardware, NEC        X
3431        M5000        Fabricated metal products        Metal sanitary ware        X
3432        B5300        Plumbing & pipe products        Plumbing fixture fittings and trim        X
3433        M5000        Fabricated metal products        Heating equipment, except electric        X
3441        M5000        Fabricated metal products        Fabricated structural metal        X
3442        B5400        Other construction-related products        Metal doors, sash, and trim        X
3443        M5000        Fabricated metal products        Fabricated plate work (boiler shops)        X
3444        M5000        Fabricated metal products        Sheet metal work        X
3446        M5000        Fabricated metal products        Architectural metal work        X
3448        M5000        Fabricated metal products        Prefabricated metal buildings        X
3449        M5000        Fabricated metal products        Miscellaneous structural metalwork        X
3451        M5000        Fabricated metal products        Screw machine products        X
3452        M5000        Fabricated metal products        Bolts, nuts, rivets, and washers        X
3462        M2100        Steel        Iron and steel forgings        X
3463        M2000        Heavy industrial manufacturing        Nonferrous forgings        X
3465        T2200        Truck/Automotive parts & accessories        Automotive stampings        X
3466        M5000        Fabricated metal products        Crowns and closures        X
3469        M5000        Fabricated metal products        Metal stampings, NEC        X
3471        M5200        Electroplating, polishing & related services        Plating and polishing        X
3479        M5200        Electroplating, polishing & related services        Metal coating and allied services        X
3482        M5300        Small arms & ammunition        Small arms ammunition        X
3483        M5300        Small arms & ammunition        Ammunition, exc for small arms, NEC        X
3484        M5300        Small arms & ammunition        Small arms        X
3489        M5300        Small arms & ammunition        Ordnance and accessories, NEC        X
3491        M5000        Fabricated metal products        Industrial valves        X
3492        M5000        Fabricated metal products        Fluid power valves and hose fittings        X
3493        M5000        Fabricated metal products        Steel springs, except wire        X
3494        M5000        Fabricated metal products        Valves and pipe fittings,nec        X
3495        M5000        Fabricated metal products        Wire springs        X
3496        M5000        Fabricated metal products        Fabricated wire products, misc        X
3497        M5000        Fabricated metal products        Metal foil and leaf        X
3498        M5000        Fabricated metal products        Fabricated pipe and fittings        X
3499        M5000        Fabricated metal products        Fabricated metal products, NEC        X
3511        M2300        Industrial/commercial equipment & materials        Turbines and turbine generator sets        X
3519        M2300        Industrial/commercial equipment & materials        Internal combustion engines, NEC        X
3523        A4200        Farm machinery & equipment        Farm machinery and equipment        X
3524        M4000        Household & office products        Lawn and garden equipment        X
3531        B6000        Construction equipment        Construction machinery and equipment        X
3532        E1240        Mining services & equipment        Mining machinery        
3533        E1150        Oilfield service, equipment & exploration        Oil and gas field machinery        X
3534        B5400        Other construction-related products        Elevators and moving stairways        X
3535        M2300        Industrial/commercial equipment & materials        Conveyors and conveying equipment        X
3536        M2300        Industrial/commercial equipment & materials        Hoists, cranes and monorails        X
3537        T3200        Truck & trailer manufacturers        Industrial trucks and tractors        X
3541        M2300        Industrial/commercial equipment & materials        Machine tools, metal cutting types        X
3542        M2300        Industrial/commercial equipment & materials        Machine tools, metal forming types        X
3543        M2300        Industrial/commercial equipment & materials        Industrial patterns        X
3544        M2300        Industrial/commercial equipment & materials        Special dies, tools, jigs & fixtures        X
3545        M2300        Industrial/commercial equipment & materials        Machine tool accessories        X
3546        M5100        Hardware & tools        Powerdriven handtools        X
3547        M2300        Industrial/commercial equipment & materials        Rolling mill machinery        X
3548        M2300        Industrial/commercial equipment & materials        Welding apparatus        X
3549        M2300        Industrial/commercial equipment & materials        Metalworking machinery, NEC        X
3552        M8000        Textiles & fabrics        Textile machinery        X
3553        M2300        Industrial/commercial equipment & materials        Woodworking machinery        X
3554        M2300        Industrial/commercial equipment & materials        Paper industries machinery        X
3555        M2300        Industrial/commercial equipment & materials        Printing trades machinery        X
